model,experiment_name,universe_count,top_n,snapshots_processed_per_universe,nodes_per_snapshot,k,directed_knn_neighbor_selections_per_snapshot,symmetric_adjacency_nonzeros_per_snapshot_lower_bound,symmetric_adjacency_nonzeros_per_snapshot_upper_bound,neighbor_selections_per_universe,batch_size,epochs_logged,epoch_duration,total_training_duration,maximum_gpu_memory,cpu_memory,checkpoint_size_bytes,prediction_time,notes
Static GCN,static_gcn_500u_k6_seed42,500,100,1,100,6,600,600,1200,600,8,61,not recorded,not recorded,not recorded,not recorded,273058,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
Static GCN,static_gcn_500u_k8_h64_seed123,500,100,1,100,8,800,800,1600,800,8,55,not recorded,not recorded,not recorded,not recorded,273058,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
Static GCN,static_gcn_500u_k8_h64_seed2025,500,100,1,100,8,800,800,1600,800,8,53,not recorded,not recorded,not recorded,not recorded,273058,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
Static GCN,static_gcn_500u_k8_h64_seed42,500,100,1,100,8,800,800,1600,800,8,60,not recorded,not recorded,not recorded,not recorded,273058,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
Static GCN,static_gcn_500u_seed123_final32,500,100,1,100,8,800,800,1600,800,4,47,not recorded,not recorded,not recorded,not recorded,80738,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
Static GCN,static_gcn_500u_seed2025_final32,500,100,1,100,8,800,800,1600,800,4,45,not recorded,not recorded,not recorded,not recorded,80738,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
Static GCN,static_gcn_500u_seed42_final32,500,100,1,100,8,800,800,1600,800,4,62,not recorded,not recorded,not recorded,not recorded,80738,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
Static GCN,static_gcn_500u_top200_h32_seed123,500,200,1,200,8,1600,1600,3200,1600,8,88,not recorded,not recorded,not recorded,not recorded,99106,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
Static GCN,static_gcn_500u_top200_h32_seed2025,500,200,1,200,8,1600,1600,3200,1600,8,44,not recorded,not recorded,not recorded,not recorded,99106,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
Static GCN,static_gcn_500u_top200_h32_seed42,500,200,1,200,8,1600,1600,3200,1600,8,58,not recorded,not recorded,not recorded,not recorded,99106,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
Static GCN,static_gcn_500u_top500_final_snapshot_h32_seed123_minmax,500,500,1,500,8,4000,4000,8000,4000,8,53,not recorded,not recorded,not recorded,not recorded,99362,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
Static GCN,static_gcn_500u_top500_final_snapshot_h32_seed123_none,500,500,1,500,8,4000,4000,8000,4000,8,114,not recorded,not recorded,not recorded,not recorded,99298,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
Static GCN,static_gcn_500u_top500_final_snapshot_h32_seed123_zscore,500,500,1,500,8,4000,4000,8000,4000,8,46,not recorded,not recorded,not recorded,not recorded,99362,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
Static GCN,static_gcn_500u_top500_final_snapshot_h32_seed2025_minmax,500,500,1,500,8,4000,4000,8000,4000,8,45,not recorded,not recorded,not recorded,not recorded,99362,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
Static GCN,static_gcn_500u_top500_final_snapshot_h32_seed2025_none,500,500,1,500,8,4000,4000,8000,4000,8,190,not recorded,not recorded,not recorded,not recorded,99298,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
Static GCN,static_gcn_500u_top500_final_snapshot_h32_seed2025_zscore,500,500,1,500,8,4000,4000,8000,4000,8,57,not recorded,not recorded,not recorded,not recorded,99362,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
Static GCN,static_gcn_500u_top500_final_snapshot_h32_seed42_none,500,500,1,500,8,4000,4000,8000,4000,8,131,not recorded,not recorded,not recorded,not recorded,99298,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
Static GCN,static_gcn_500u_top500_final_snapshot_h32_seed42_zscore,500,500,1,500,8,4000,4000,8000,4000,8,52,not recorded,not recorded,not recorded,not recorded,99362,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
Static GCN,static_gcn_500u_top500_final_snapshot_h32_seed777_minmax,500,500,1,500,8,4000,4000,8000,4000,8,50,not recorded,not recorded,not recorded,not recorded,99362,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
Static GCN,static_gcn_500u_top500_final_snapshot_h32_seed777_none,500,500,1,500,8,4000,4000,8000,4000,8,88,not recorded,not recorded,not recorded,not recorded,99298,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
Static GCN,static_gcn_500u_top500_final_snapshot_h32_seed777_zscore,500,500,1,500,8,4000,4000,8000,4000,8,97,not recorded,not recorded,not recorded,not recorded,99362,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
Static GCN,static_gcn_500u_top500_final_snapshot_h32_seed999_minmax,500,500,1,500,8,4000,4000,8000,4000,8,64,not recorded,not recorded,not recorded,not recorded,99362,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
Static GCN,static_gcn_500u_top500_final_snapshot_h32_seed999_none,500,500,1,500,8,4000,4000,8000,4000,8,128,not recorded,not recorded,not recorded,not recorded,99298,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
Static GCN,static_gcn_500u_top500_final_snapshot_h32_seed999_zscore,500,500,1,500,8,4000,4000,8000,4000,8,57,not recorded,not recorded,not recorded,not recorded,99362,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
Static GCN,static_gcn_50u_seed123_final32,50,100,1,100,8,800,800,1600,800,8,42,not recorded,not recorded,not recorded,not recorded,73570,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
Static GCN,static_gcn_50u_seed2025,50,100,1,100,8,800,800,1600,800,4,51,not recorded,not recorded,not recorded,not recorded,73570,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
Static GCN,static_gcn_50u_seed42,50,100,1,100,8,800,800,1600,800,4,76,not recorded,not recorded,not recorded,not recorded,73570,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
Static GCN,static_gcn_top500_final_snapshot_same_split_h32_seed42,500,500,1,500,8,4000,4000,8000,4000,8,56,not recorded,not recorded,not recorded,not recorded,99298,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
Static GCN,static_gcn_u100_top100_norm-minmax_h32_l2_gpool-mean_conv-gcn_batch8_canonical300_seed2025,100,100,1,100,8,800,800,1600,800,8,61,not recorded,not recorded,not recorded,not recorded,74594,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
Static GCN,static_gcn_u100_top100_norm-minmax_h32_l2_gpool-mean_conv-gcn_batch8_canonical300_seed42,100,100,1,100,8,800,800,1600,800,8,63,not recorded,not recorded,not recorded,not recorded,74594,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
Static GCN,static_gcn_u20_top100_norm-minmax_h32_l2_gpool-mean_conv-gcn_batch8_canonical300_seed2025,20,100,1,100,8,800,800,1600,800,8,43,not recorded,not recorded,not recorded,not recorded,73378,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
Static GCN,static_gcn_u20_top100_norm-minmax_h32_l2_gpool-mean_conv-gcn_batch8_canonical300_seed42,20,100,1,100,8,800,800,1600,800,8,46,not recorded,not recorded,not recorded,not recorded,73378,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
Static GCN,static_gcn_u500_top100_norm-minmax_h32_l2_gpool-mean_conv-gcn_batch8_canonical300_seed123,500,100,1,100,8,800,800,1600,800,8,42,not recorded,not recorded,not recorded,not recorded,80930,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
Static GCN,static_gcn_u500_top100_norm-minmax_h32_l2_gpool-mean_conv-gcn_batch8_canonical300_seed2025,500,100,1,100,8,800,800,1600,800,8,60,not recorded,not recorded,not recorded,not recorded,80930,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
Static GCN,static_gcn_u500_top100_norm-minmax_h32_l2_gpool-mean_conv-gcn_batch8_canonical300_seed42,500,100,1,100,8,800,800,1600,800,8,62,not recorded,not recorded,not recorded,not recorded,80930,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
Static GCN,static_gcn_u500_top100_norm-minmax_k12_h32_l3_gpool-mean_conv-gcn_batch8_factorial_seed123,500,100,1,100,12,1200,1200,2400,1200,8,55,not recorded,not recorded,not recorded,not recorded,99362,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
Static GCN,static_gcn_u500_top100_norm-minmax_k12_h32_l3_gpool-mean_conv-gcn_batch8_factorial_seed2025,500,100,1,100,12,1200,1200,2400,1200,8,57,not recorded,not recorded,not recorded,not recorded,99362,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
Static GCN,static_gcn_u500_top100_norm-minmax_k12_h32_l3_gpool-mean_conv-gcn_batch8_factorial_seed42,500,100,1,100,12,1200,1200,2400,1200,8,60,not recorded,not recorded,not recorded,not recorded,99362,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
Static GCN,static_gcn_u500_top100_norm-minmax_k4_h32_l3_gpool-mean_conv-gcn_batch8_factorial_seed123,500,100,1,100,4,400,400,800,400,8,60,not recorded,not recorded,not recorded,not recorded,99362,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
Static GCN,static_gcn_u500_top100_norm-minmax_k4_h32_l3_gpool-mean_conv-gcn_batch8_factorial_seed2025,500,100,1,100,4,400,400,800,400,8,53,not recorded,not recorded,not recorded,not recorded,99362,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
Static GCN,static_gcn_u500_top100_norm-minmax_k4_h32_l3_gpool-mean_conv-gcn_batch8_factorial_seed42,500,100,1,100,4,400,400,800,400,8,117,not recorded,not recorded,not recorded,not recorded,99362,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
Static GCN,static_gcn_u500_top100_norm-minmax_k6_h32_l3_gpool-mean_conv-gcn_batch8_factorial_seed123,500,100,1,100,6,600,600,1200,600,8,50,not recorded,not recorded,not recorded,not recorded,99362,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
Static GCN,static_gcn_u500_top100_norm-minmax_k6_h32_l3_gpool-mean_conv-gcn_batch8_factorial_seed2025,500,100,1,100,6,600,600,1200,600,8,57,not recorded,not recorded,not recorded,not recorded,99362,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
Static GCN,static_gcn_u500_top100_norm-minmax_k6_h32_l3_gpool-mean_conv-gcn_batch8_factorial_seed42,500,100,1,100,6,600,600,1200,600,8,52,not recorded,not recorded,not recorded,not recorded,99362,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
Static GCN,static_gcn_u500_top100_norm-minmax_k8_h32_l3_gpool-mean_conv-gcn_batch8_factorial_seed123,500,100,1,100,8,800,800,1600,800,8,55,not recorded,not recorded,not recorded,not recorded,99362,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
Static GCN,static_gcn_u500_top100_norm-minmax_k8_h32_l3_gpool-mean_conv-gcn_batch8_factorial_seed2025,500,100,1,100,8,800,800,1600,800,8,53,not recorded,not recorded,not recorded,not recorded,99362,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
Static GCN,static_gcn_u500_top100_norm-minmax_k8_h32_l3_gpool-mean_conv-gcn_batch8_factorial_seed42,500,100,1,100,8,800,800,1600,800,8,88,not recorded,not recorded,not recorded,not recorded,99362,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
Static GCN,static_gcn_u50_top100_norm-minmax_h32_l2_gpool-mean_conv-gcn_batch8_canonical300_seed2025,50,100,1,100,8,800,800,1600,800,8,60,not recorded,not recorded,not recorded,not recorded,73826,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
Static GCN,static_gcn_u50_top100_norm-minmax_h32_l2_gpool-mean_conv-gcn_batch8_canonical300_seed42,50,100,1,100,8,800,800,1600,800,8,73,not recorded,not recorded,not recorded,not recorded,73826,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
Static GCN,static_graphsage_500u_top500_final_snapshot_h32_seed42,500,500,1,500,8,4000,4000,8000,4000,8,57,not recorded,not recorded,not recorded,not recorded,136162,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
